Valimisringkonna nr,Erakond,Kandidaat,Häälte arv
2,Erakond Eesti 200,ALEKSANDR MAIOROV,22
2,Erakond Eesti 200,ÜLLE KASK,20
2,Erakond Eesti 200,PIRET KÜRBIS,15
2,Eesti Keskerakond,MIHHAIL KÕLVART,17150
2,Eesti Keskerakond,MAILIS REPS,2069
2,Eesti Keskerakond,MIHHAIL KORB,1114
2,Eesti Keskerakond,MARIA JUFEREVA-SKURATOVSKI,1011
2,Eesti Keskerakond,VLADIMIR SVET,980
2,Eesti Keskerakond,ERKI SAVISAAR,653
2,Eesti Keskerakond,TÕNIS MÖLDER,633
2,Eesti Keskerakond,KALLE KLANDORF,492
2,Eesti Keskerakond,SERGEI PTŠJOLKIN,460
2,Eesti Keskerakond,JÜRI KUUSKEMAA,423
2,Eesti Keskerakond,MÄRT SULTS,422
2,Eesti Keskerakond,IMRE SOOÄÄR,349
2,Eesti Keskerakond,TANEL KIIK,237
2,Eesti Keskerakond,IRINA EMBRICH,200
2,Eesti Keskerakond,PEETER MARDNA,142
2,Eestimaa Ühendatud Vasakpartei,ANDREI ORPONEN,113
2,Isamaa Erakond,VIKTORIA LADÕNSKAJA-KUBITS,1259
2,Isamaa Erakond,SVEN SESTER,1154
2,Isamaa Erakond,RIINA SOLMAN,906
2,Isamaa Erakond,LAGLE PAREK,595
2,Isamaa Erakond,MADIS PÄTS,283
2,Isamaa Erakond,KALEV VAPPER,271
2,Isamaa Erakond,HELDUR-VALDEK SEEDER,252
2,Isamaa Erakond,JÜRI TREI,141
2,Isamaa Erakond,TOIVO JÜRGENSON,121
2,Isamaa Erakond,ILLIMAR LEPPIK VON WIRÉN,106
2,Isamaa Erakond,TIIT MATSULEVITŠ,83
2,Isamaa Erakond,JAAK AHELIK,82
2,Isamaa Erakond,INGO NORMET,76
2,Isamaa Erakond,LEA NILSON,56
2,Isamaa Erakond,TIIT NABER,31
2,Üksikkandidaadid,HANDO TÕNUMAA,191
2,Üksikkandidaadid,MAARIKA PÄHKLEMÄE,75
2,Üksikkandidaadid,EGE HIRV,39
2,Üksikkandidaadid,SERGEI SVJATUŠENKO,24
3,Eesti Vabaerakond,AIN LUTSEPP,427
3,Eesti Vabaerakond,MERIKE VÄRIK,81
3,Eesti Vabaerakond,EPP ALATALU,66
3,Eesti Vabaerakond,TÕNU PLOOMPUU,44
3,Eesti Vabaerakond,ALEKSANDR DORMIDONTOV,37
3,Eesti Vabaerakond,KAJA VAJAK,17
3,Eesti Vabaerakond,MARGUS RAHA,16
3,Eesti Vabaerakond,ANNE HANSBERG,11
3,Eesti Vabaerakond,TÕNU ARU,8
3,Eesti Vabaerakond,VIKTORIA LUKATS,7
3,Eesti Reformierakond,URMAS PAET,8584
3,Eesti Reformierakond,MARIS LAURI,4331
3,Eesti Reformierakond,VILJA TOOMAST,953
3,Eesti Reformierakond,JOHANNES KERT,708
3,Eesti Reformierakond,EERO MERILIND,429
3,Eesti Reformierakond,ÕNNE PILLAK,379
3,Eesti Reformierakond,ART KUUM,344
3,Eesti Reformierakond,STEN LAANSOO,242
3,Eesti Reformierakond,TÕNU MEIJEL,140
3,Eesti Reformierakond,TOOMAS KÄRK,99
3,Erakond Eestimaa Rohelised,KASPAR KURVE,438
3,Erakond Eestimaa Rohelised,TÕNU TRUBETSKY,226
3,Erakond Eestimaa Rohelised,KATRIN JÕGISAAR,193
3,Erakond Eestimaa Rohelised,TIIU ROOSMA,149
3,Erakond Eestimaa Rohelised,KARIN PÕLDOJA,74
3,Erakond Eestimaa Rohelised,ERROL VARES,56
3,Erakond Eestimaa Rohelised,AGU KIVIMÄGI,29
3,Erakond Eestimaa Rohelised,URVE MADAR,28
3,Erakond Eestimaa Rohelised,ANNE ARTUS,20
3,Erakond Eestimaa Rohelised,ANDREI KIISLER,14
3,Sotsiaaldemokraatlik Erakond,HELVE SÄRGAVA,1466
3,Sotsiaaldemokraatlik Erakond,RAINER VAKRA,1440
3,Sotsiaaldemokraatlik Erakond,MART MERI,407
3,Sotsiaaldemokraatlik Erakond,SILVER MEIKAR,271
3,Sotsiaaldemokraatlik Erakond,KÜLLI URB,238
3,Sotsiaaldemokraatlik Erakond,OLGA SÕTNIK,227
3,Sotsiaaldemokraatlik Erakond,ANTO LIIVAT,224
3,Sotsiaaldemokraatlik Erakond,JAAK KANGILASKI,160
3,Sotsiaaldemokraatlik Erakond,MERLI REIDOLF,159
3,Sotsiaaldemokraatlik Erakond,OLEV REMSU,59
3,Elurikkuse Erakond,LAURI TÕNSPOEG,313
3,Elurikkuse Erakond,OTT KÖSTNER,87
3,Elurikkuse Erakond,ANDRES VESPER,84
3,Elurikkuse Erakond,JÜRI PETERSON,60
3,Eesti Konservatiivne Rahvaerakond,MARTIN HELME,5967
3,Eesti Konservatiivne Rahvaerakond,KADRI VILBA,367
3,Eesti Konservatiivne Rahvaerakond,EVE PÄRNASTE,296
3,Eesti Konservatiivne Rahvaerakond,MART KALLAS,102
3,Eesti Konservatiivne Rahvaerakond,JÜRI BÖHM,72
3,Eesti Konservatiivne Rahvaerakond,RAIVO PÕHJAKIVI,70
3,Eesti Konservatiivne Rahvaerakond,WESSE ALLIK,57
3,Eesti Konservatiivne Rahvaerakond,AIN PEDAJAS,52
3,Eesti Konservatiivne Rahvaerakond,TÕNIS TÄHE,50
3,Eesti Konservatiivne Rahvaerakond,ANDRE PERE,22
3,Erakond Eesti 200,LAURI HUSSAR,1300
3,Erakond Eesti 200,TIIT ELENURM,287
3,Erakond Eesti 200,ÜLO PIKKOV,216
3,Erakond Eesti 200,SIIRI LEHTMETS,94
3,Erakond Eesti 200,TIIT PAPP,92
3,Erakond Eesti 200,ANDRES INGERMAN,81
3,Erakond Eesti 200,KAROLIINA OONA RANNE,81
