Valimisringkonna nr,Erakond,Kandidaat,Häälte arv
11,Sotsiaaldemokraatlik Erakond,MAIRE MURUMAA,80
11,Elurikkuse Erakond,RAINER KUUBA,416
11,Elurikkuse Erakond,AIRI HALLIK-KONNULA,141
11,Elurikkuse Erakond,ÜLLE KAUKSI,126
11,Elurikkuse Erakond,EDA VEEROJA,85
11,Elurikkuse Erakond,OLIVER LOODE,43
11,Elurikkuse Erakond,REIN LEPP,40
11,Elurikkuse Erakond,LILIAN FREIBERG,24
11,Elurikkuse Erakond,ALEXANDER LINNAMÄE,18
11,Elurikkuse Erakond,REIN EINASTO,12
11,Eesti Konservatiivne Rahvaerakond,UNO KASKPEIT,3802
11,Eesti Konservatiivne Rahvaerakond,MERRY AART,1245
11,Eesti Konservatiivne Rahvaerakond,TIIT KALA,1033
11,Eesti Konservatiivne Rahvaerakond,INDREK KÄO,991
11,Eesti Konservatiivne Rahvaerakond,ANTS TAUL,814
11,Eesti Konservatiivne Rahvaerakond,KALMAR LUISK,786
11,Eesti Konservatiivne Rahvaerakond,JÜRI KAVER,716
11,Eesti Konservatiivne Rahvaerakond,ARNO SILD,575
11,Eesti Konservatiivne Rahvaerakond,MEELIS AIANURM,480
11,Eesti Konservatiivne Rahvaerakond,GAIUS GIL,202
11,Erakond Eesti 200,IGOR TARO,1007
11,Erakond Eesti 200,EINAR VISNAPUU,260
11,Erakond Eesti 200,EPP PETRONE,139
11,Erakond Eesti 200,MERLIS PAJUSTIK,118
11,Erakond Eesti 200,MIKK MÄESAAR,90
11,Erakond Eesti 200,KRISTA SILDOJA,77
11,Erakond Eesti 200,HERKO SUNTS,74
11,Erakond Eesti 200,ARE SELGE,72
11,Erakond Eesti 200,KATRIN JÕGEVA,43
11,Erakond Eesti 200,MARGIT LAIL,29
11,Eesti Keskerakond,TARMO TAMM,2824
11,Eesti Keskerakond,ESTER KARUSE,1665
11,Eesti Keskerakond,ANNELI OTT,1474
11,Eesti Keskerakond,HEIMAR LENK,1176
11,Eesti Keskerakond,ÜLO TULIK,559
11,Eesti Keskerakond,JANIKA USIN,450
11,Eesti Keskerakond,ANDRE LAINE,326
11,Eesti Keskerakond,ÜLLE JUHT,325
11,Eesti Keskerakond,JAANUS RAIDAL,242
11,Eesti Keskerakond,JÜRI SAAR,156
11,Isamaa Erakond,PRIIT SIBUL,1406
11,Isamaa Erakond,MEELIS MÕTTUS,644
11,Isamaa Erakond,ULLA PREEDEN,510
11,Isamaa Erakond,MERLE JÄÄGER,474
11,Isamaa Erakond,KURMET MÜÜRSEPP,273
11,Isamaa Erakond,MONIKA ROGENBAUM,271
11,Isamaa Erakond,ARNE TILK,224
11,Isamaa Erakond,KALLE VISTER,169
11,Isamaa Erakond,TOOMAS PIIRMANN,135
11,Isamaa Erakond,AIN PAJO,47
11,Üksikkandidaadid,ÜLLAR KRUUSTIK,112
11,Üksikkandidaadid,TANEL HÄIDKIND,61
12,Eesti Vabaerakond,TOOMAS ALATALU,190
12,Eesti Vabaerakond,HELI KÜNNAPAS,151
12,Eesti Vabaerakond,ELMO JOA,49
12,Eesti Vabaerakond,ALLAR SAU,28
12,Eesti Vabaerakond,ÜLLE ORAV,19
12,Eesti Vabaerakond,FREDY VABRIT,18
12,Eesti Vabaerakond,REIN PRINS,14
12,Eesti Vabaerakond,DANDY ROSENBERG,9
12,Eesti Vabaerakond,JÜRGEN POST,3
12,Eesti Reformierakond,TOOMAS KIVIMÄGI,5202
12,Eesti Reformierakond,ANNELY AKKERMANN,2397
12,Eesti Reformierakond,JÜRI JAANSON,1139
12,Eesti Reformierakond,MARIKA VALTER,526
12,Eesti Reformierakond,TOOMAS RÕHU,421
12,Eesti Reformierakond,JÜRI LEBEDEV,372
12,Eesti Reformierakond,ANDRES MÕIS,289
12,Eesti Reformierakond,MADIS KOIT,268
12,Eesti Reformierakond,MEELI PÄRNA,246
12,Erakond Eestimaa Rohelised,KRISTER KIVI,246
12,Erakond Eestimaa Rohelised,MIKK PÄRNITS,52
12,Erakond Eestimaa Rohelised,TIIA KÕNNUSSAAR,50
12,Erakond Eestimaa Rohelised,ANU PALUOJA,36
12,Erakond Eestimaa Rohelised,KRISTA LEHARI,34
12,Erakond Eestimaa Rohelised,JOHANNES SARAPUU,30
12,Erakond Eestimaa Rohelised,TIINA KILKSON,26
12,Erakond Eestimaa Rohelised,MARGIT ADORF,19
12,Erakond Eestimaa Rohelised,SVEN ARULAID,13
12,Sotsiaaldemokraatlik Erakond,INDREK TARAND,1061
12,Sotsiaaldemokraatlik Erakond,MADIS VESKIMÄGI,429
12,Sotsiaaldemokraatlik Erakond,KADRI-AIJA VIIK,358
12,Sotsiaaldemokraatlik Erakond,KALEV KALJUSTE,352
12,Sotsiaaldemokraatlik Erakond,MERCEDES MERIMAA,192
12,Sotsiaaldemokraatlik Erakond,TATJANA JAANSON,130
12,Sotsiaaldemokraatlik Erakond,JAAN KRINAL,100
12,Sotsiaaldemokraatlik Erakond,ANET TOMAŠPOLSKAJA,86
12,Sotsiaaldemokraatlik Erakond,REELIKA RÜÜTLI,72
12,Elurikkuse Erakond,MATI KOSE,270
12,Elurikkuse Erakond,AIVAR RUUKEL,149
12,Elurikkuse Erakond,TAUNO JÜRGENSTEIN,84
12,Elurikkuse Erakond,GRETE PERTEL,39
12,Elurikkuse Erakond,KERSTI REPPO,39
12,Elurikkuse Erakond,THEA PERM,39
12,Elurikkuse Erakond,TEHO PAULUS,4
12,Eesti Konservatiivne Rahvaerakond,MART HELME,9170
12,Eesti Konservatiivne Rahvaerakond,ALAR LANEMAN,673
12,Eesti Konservatiivne Rahvaerakond,HELLE KULLERKUPP,410
12,Eesti Konservatiivne Rahvaerakond,MEELIS MALK,312
12,Eesti Konservatiivne Rahvaerakond,KAIDI SUVISTE,239
12,Eesti Konservatiivne Rahvaerakond,SIIMO LOPSIK,234
12,Eesti Konservatiivne Rahvaerakond,HELDUR PAULSON,204
12,Eesti Konservatiivne Rahvaerakond,EDMOND PENU,174
12,Eesti Konservatiivne Rahvaerakond,ROBERT KIVISELG,159
12,Erakond Eesti 200,KADRI TALI,872
12,Erakond Eesti 200,JANNO KULDKEPP,159
12,Erakond Eesti 200,MATI TIIMUS,116
12,Erakond Eesti 200,TOOMAS PAJULA,67
12,Erakond Eesti 200,SIRJE NIITRA,64
12,Erakond Eesti 200,TARMO VALGEPEA,56
12,Erakond Eesti 200,SIGRIT ROOSILEHT,22
12,Erakond Eesti 200,MONIKA SIRULI,22
12,Erakond Eesti 200,JEVGENI GORLEVSKI,12
12,Eesti Keskerakond,KADRI SIMSON,5741
12,Eesti Keskerakond,MARKO ŠORIN,686
12,Eesti Keskerakond,MIKK PIKKMETS,585
12,Eesti Keskerakond,HILLAR TALVIK,277
12,Eesti Keskerakond,AVO KEEL,180
12,Eesti Keskerakond,KRISTA NÕMM,139
12,Eesti Keskerakond,ARDO AASA,106
12,Eesti Keskerakond,ANTS LOPSIK,102
12,Eesti Keskerakond,ANDRES ANNAST,97
12,Eestimaa Ühendatud Vasakpartei,VJATŠESLAV MAKARONSKI,41
12,Isamaa Erakond,ANDRES METSOJA,2228
12,Isamaa Erakond,LAURI LUUR,663
12,Isamaa Erakond,ELA TOMSON,501
12,Isamaa Erakond,KUNO ERKMANN,367
12,Isamaa Erakond,SIIM SUURSILD,301
12,Isamaa Erakond,URMAS AAVA,284
12,Isamaa Erakond,MEELIS KUKK,279
12,Isamaa Erakond,JAANUS PÕLDMAA,278
12,Isamaa Erakond,AARE ARVA,144
